laced-dragon-89 - val_loss,copper-pine-19 - val_loss,still-jazz-17 - val_loss,electric-sweep-20 - val_loss,good-sweep-19 - val_loss,jumping-sweep-18 - val_loss,graceful-sweep-17 - val_loss,skilled-sweep-16 - val_loss,usual-sweep-15 - val_loss,cosmic-sweep-14 - val_loss,resilient-sweep-13 - val_loss,denim-sweep-12 - val_loss,earnest-sweep-11 - val_loss,grateful-sweep-10 - val_loss,misunderstood-sweep-9 - val_loss,brisk-sweep-7 - val_loss,daily-sweep-6 - val_loss,fresh-sweep-5 - val_loss,expert-sweep-4 - val_loss,stoic-sweep-3 - val_loss,spring-sweep-2 - val_loss,comic-sweep-1 - val_loss,warm-tree-41 - val_loss,playful-morning-32 - val_loss,solar-glade-30 - val_loss,flowing-gorge-28 - val_loss,denim-pyramid-26 - val_loss,crimson-dew-21 - val_loss,trim-frog-19 - val_loss,prime-surf-16 - val_loss
2.770413758775178,3.660848195532196,5.71410377889098,2.789623262855709,2.7965591534401195,3.522514707520512,2.824290136471667,3.2909346923545204,2.7923506099007773,3.719874147431665,4.648508964274516,3.964601462497405,3.776736982083881,3.3096934867877748,2.715174395604835,2.910153958352446,3.248754818448325,3.1466407445806213,2.793958986350721,2.8146048252308478,4.24757027832333,2.886746853921558,3.385938553639189,3.9770305053560047,3.699558226744546,3.076499542443209,3.430333504618892,3.990954551178092,3.257617689917792,3.39757775729902
2.577930864568404,3.2942782037779783,5.026194530010812,2.665956009745745,2.6485926854448354,3.2305166411900843,2.678330899463744,3.0127370018599504,2.665010327314417,3.3602377640449514,4.3430382135624646,3.60003550591958,3.427563709735281,3.106105456688201,2.5992823867184858,2.7149698625241574,2.981732353144434,2.8820281812670205,2.663681403962879,2.7212272132430293,3.877584729707432,2.802204496928287,3.088782652346844,3.63559986958545,3.355246284122822,2.8042560767991143,3.1030629254884907,3.6484514597172497,2.963972046879225,3.0879712039961658
2.4881561423525977,3.1145347776754826,4.700449455506427,2.6334886468385146,2.613702705086235,3.056437073885584,2.648582808019499,2.8758088407764038,2.6360260405852856,3.1830646411155445,4.133833498536288,3.4147655483524053,3.245052585201004,3.029198997837062,2.622035021245553,2.6371932306749417,2.845506936864299,2.7597512845203225,2.637420107908685,2.715965056448843,3.655843674620828,2.7837986097347605,2.9277533093842645,3.448132981770708,3.159115244409016,2.674928820137584,2.926534193748325,3.4565732776750298,2.8238453534978576,2.9440789222717285
2.437520426982561,2.997454283116627,4.576701174855085,2.632266042848453,2.6247250282278167,2.9276233550497275,2.6392430646163128,2.787450055993532,2.6299198266160206,3.061122294262107,3.975565068653988,3.2911553400556,3.12362189758546,2.9733156704048,2.702003490792217,2.615840813432842,2.7711705990568523,2.6922133726301536,2.6654311033939697,2.749294917574624,3.5046972538838426,2.789104772881318,2.8395078939619407,3.3110251998429834,3.0322359776417227,2.607650273229841,2.8180285896088937,3.317300760554442,2.7447117768937197,2.8489538353070047
2.398455745390956,2.9098019900516467,4.494158307465693,2.6524137755112243,2.659365371072248,2.848902193076531,2.6511807105744576,2.7327239021235257,2.642960658032166,2.979579942040744,3.854875214462375,3.200748080523553,3.0306392635491632,2.9660681658533803,2.823691129979156,2.625084261664354,2.716554759606737,2.6497283541817307,2.713288557691538,2.795662782100871,3.397267732985677,2.804608085688908,2.7745553713351745,3.209085389032352,2.9363917840655978,2.5815600408408974,2.746375749231681,3.21695879805368,2.6959557303392105,2.7896575803957115
2.3786999073686053,2.8496675420603146,4.414826215123953,2.6659011098156755,2.718891591754626,2.784702006317629,2.6674993931142006,2.691108073528087,2.6535279017001647,2.9237339328629126,3.757133219828564,3.126037188601877,2.9553364516778102,2.9348498693355376,2.9661365881543813,2.6570271007504838,2.682801121686976,2.621281439353273,2.7713734670386767,2.847329511630668,3.312375784214996,2.818508602043312,2.7250303108111598,3.1330168214805045,2.8638490224180666,2.5661614392224936,2.6936817543092704,3.141436566823198,2.677531440414221,2.752058127017781
2.3668112614076504,2.814011840796736,4.326158780544739,2.68157053052716,2.7772576192990224,2.7356633957295835,2.692927910459351,2.663346986098696,2.662979068803257,2.8841111002805357,3.669904753657885,3.0637607267966818,2.8977529127311943,2.9076155779240893,3.1286593149560047,2.7094401617722106,2.649682963292295,2.599249415992954,2.8295106292507706,2.882745050234612,3.244589265698408,2.8399534402288524,2.703122650000309,3.067920371245395,2.808241839775134,2.584493933739432,2.656301119021009,3.083977666272516,2.6723281120045663,2.7277728176234826
2.359430979721498,2.7820288283273817,4.23612185432236,2.699514590618195,2.853283612188804,2.7025273373748817,2.7108195685633034,2.642374728901866,2.6890265036867045,2.8562431182201182,3.5972321030530705,3.011017774621989,2.849217948866421,2.905457184252839,3.2740524454670874,2.767066313103486,2.6369674992649754,2.599821310550232,2.896074092285005,2.9289575489548727,3.1901624948338907,2.860253698893619,2.6753964972289737,3.0154655159477546,2.7663988540389783,2.603812816712778,2.6333539956027243,3.030077153878984,2.68006700579404,2.7014319044992567
2.35300962097886,2.75403871995999,4.151820383201571,2.724531106512685,2.932280200962967,2.682472611534581,2.7337519300293422,2.634337094569825,2.696545459431388,2.834331055654141,3.537802923742419,2.96712857447979,2.8126579786849994,2.890007772316008,3.408325465854225,2.8536451001397167,2.620255997213357,2.599052943169555,2.9752938355444685,2.980034718554748,3.141217341971191,2.87819882464792,2.6525742415297318,2.9690450071846453,2.728048983133573,2.643799543661625,2.6068069632176734,2.982424626391662,2.6892086637329555,2.6914546516239275
2.3502468596927413,2.7398377572944934,4.07868084005726,2.7368471914227723,3.0098952586924925,2.6636340344055327,2.747940905751345,2.61829812152424,2.7102381125074086,2.8145655677993453,3.484035811406573,2.927467736973898,2.783100153518696,2.867431729626744,3.548389786106105,2.923631801298729,2.613370521696301,2.593859175079685,3.045721992426661,3.01760619178838,3.101164885003428,2.8916144801306047,2.64079181284486,2.934111301624878,2.709428921284049,2.700084245183974,2.603017977528821,2.9439915384733486,2.7047275989989856,2.688486491204487
