epoch,wobbly-elevator-22 - val_loss,wobbly-elevator-22 - val_loss__MIN,wobbly-elevator-22 - val_loss__MAX,driven-glitter-23 - val_loss,driven-glitter-23 - val_loss__MIN,driven-glitter-23 - val_loss__MAX,breezy-sun-24 - val_loss,breezy-sun-24 - val_loss__MIN,breezy-sun-24 - val_loss__MAX,atomic-voice-25 - val_loss,atomic-voice-25 - val_loss__MIN,atomic-voice-25 - val_loss__MAX,classic-bee-26 - val_loss,classic-bee-26 - val_loss__MIN,classic-bee-26 - val_loss__MAX,usual-deluge-27 - val_loss,usual-deluge-27 - val_loss__MIN,usual-deluge-27 - val_loss__MAX,frosty-blaze-28 - val_loss,frosty-blaze-28 - val_loss__MIN,frosty-blaze-28 - val_loss__MAX,resilient-cosmos-29 - val_loss,resilient-cosmos-29 - val_loss__MIN,resilient-cosmos-29 - val_loss__MAX
1,3.7416244885153023,3.7416244885153023,3.7416244885153023,,,,3.29561408357046,3.29561408357046,3.29561408357046,,,,2.9184140604342685,2.9184140604342685,2.9184140604342685,,,,3.0471202677697096,3.0471202677697096,3.0471202677697096,,,
2,3.4234748873359715,3.4234748873359715,3.4234748873359715,,,,2.9918873900646585,2.9918873900646585,2.9918873900646585,,,,2.6693731248683696,2.6693731248683696,2.6693731248683696,,,,2.7864860927997634,2.7864860927997634,2.7864860927997634,,,
3,3.24086163673566,3.24086163673566,3.24086163673566,,,,2.8461014820805968,2.8461014820805968,2.8461014820805968,,,,2.5675294247822045,2.5675294247822045,2.5675294247822045,,,,2.6715722502521158,2.6715722502521158,2.6715722502521158,,,
4,3.120288907426026,3.120288907426026,3.120288907426026,,,,2.756986229065974,2.756986229065974,2.756986229065974,,,,2.522145439066881,2.522145439066881,2.522145439066881,,,,2.6096614490855825,2.6096614490855825,2.6096614490855825,,,
5,3.0306327546595213,3.0306327546595213,3.0306327546595213,,,,2.695643864931529,2.695643864931529,2.695643864931529,,,,2.5075492411511755,2.5075492411511755,2.5075492411511755,2.5075492411511755,2.5075492411511755,2.5075492411511755,2.58943055868618,2.58943055868618,2.58943055868618,,,
6,2.9696185944071907,2.9696185944071907,2.9696185944071907,,,,2.668318681292813,2.668318681292813,2.668318681292813,,,,2.5144545698109595,2.5144545698109595,2.5144545698109595,,,,2.5651106641124617,2.5651106641124617,2.5651106641124617,2.5651106641124617,2.5651106641124617,2.5651106641124617
7,2.9177490786838045,2.9177490786838045,2.9177490786838045,,,,2.6458481165237755,2.6458481165237755,2.6458481165237755,,,,2.5427275788638597,2.5427275788638597,2.5427275788638597,,,,2.5751150816549986,2.5751150816549986,2.5751150816549986,,,
8,2.878943133513696,2.878943133513696,2.878943133513696,,,,2.632868923891346,2.632868923891346,2.632868923891346,,,,2.5816488765159584,2.5816488765159584,2.5816488765159584,,,,2.582125717577433,2.582125717577433,2.582125717577433,,,
9,2.850398169123061,2.850398169123061,2.850398169123061,,,,2.6274040921754325,2.6274040921754325,2.6274040921754325,,,,2.633674738079673,2.633674738079673,2.633674738079673,,,,2.6068563041702024,2.6068563041702024,2.6068563041702024,,,
10,2.827320030119324,2.827320030119324,2.827320030119324,,,,2.6236147289433758,2.6236147289433758,2.6236147289433758,2.6236147289433758,2.6236147289433758,2.6236147289433758,2.7111827575611533,2.7111827575611533,2.7111827575611533,,,,2.6463254211738043,2.6463254211738043,2.6463254211738043,,,
11,2.804090481412453,2.804090481412453,2.804090481412453,,,,2.6369594725601693,2.6369594725601693,2.6369594725601693,,,,2.7760471000205995,2.7760471000205995,2.7760471000205995,,,,2.6748728674446114,2.6748728674446114,2.6748728674446114,,,
12,2.786755586073934,2.786755586073934,2.786755586073934,,,,2.6448108203201866,2.6448108203201866,2.6448108203201866,,,,2.8613871214475184,2.8613871214475184,2.8613871214475184,,,,2.7144118067693728,2.7144118067693728,2.7144118067693728,,,
