epoch,wobbly-elevator-22 - val_loss,wobbly-elevator-22 - val_loss__MIN,wobbly-elevator-22 - val_loss__MAX,driven-glitter-23 - val_loss,driven-glitter-23 - val_loss__MIN,driven-glitter-23 - val_loss__MAX,breezy-sun-24 - val_loss,breezy-sun-24 - val_loss__MIN,breezy-sun-24 - val_loss__MAX,atomic-voice-25 - val_loss,atomic-voice-25 - val_loss__MIN,atomic-voice-25 - val_loss__MAX,classic-bee-26 - val_loss,classic-bee-26 - val_loss__MIN,classic-bee-26 - val_loss__MAX,usual-deluge-27 - val_loss,usual-deluge-27 - val_loss__MIN,usual-deluge-27 - val_loss__MAX,frosty-blaze-28 - val_loss,frosty-blaze-28 - val_loss__MIN,frosty-blaze-28 - val_loss__MAX,resilient-cosmos-29 - val_loss,resilient-cosmos-29 - val_loss__MIN,resilient-cosmos-29 - val_loss__MAX
13,2.781032721689488,2.781032721689488,2.781032721689488,,,,2.656372510481425,2.656372510481425,2.656372510481425,,,,2.934748997063395,2.934748997063395,2.934748997063395,,,,2.753454242752838,2.753454242752838,2.753454242752838,,,
14,2.766918602425111,2.766918602425111,2.766918602425111,,,,2.677953368948464,2.677953368948464,2.677953368948464,,,,3.070613822952024,3.070613822952024,3.070613822952024,,,,2.808674648004177,2.808674648004177,2.808674648004177,,,
15,2.7613850485100984,2.7613850485100984,2.7613850485100984,,,,2.690584462423673,2.690584462423673,2.690584462423673,,,,3.1327064463117376,3.1327064463117376,3.1327064463117376,,,,2.8640436057639094,2.8640436057639094,2.8640436057639094,,,
16,2.758753526515728,2.758753526515728,2.758753526515728,,,,2.7170055468970986,2.7170055468970986,2.7170055468970986,,,,3.1907665446347866,3.1907665446347866,3.1907665446347866,,,,2.917620104985273,2.917620104985273,2.917620104985273,,,
17,2.7549492023442497,2.7549492023442497,2.7549492023442497,2.7549492023442497,2.7549492023442497,2.7549492023442497,2.7395486782874143,2.7395486782874143,2.7395486782874143,,,,3.2619330155854147,3.2619330155854147,3.2619330155854147,,,,2.978922898353718,2.978922898353718,2.978922898353718,,,
18,2.755791607000658,2.755791607000658,2.755791607000658,,,,2.7757995257176837,2.7757995257176837,2.7757995257176837,,,,3.3056507145124643,3.3056507145124643,3.3056507145124643,,,,3.024360144508959,3.024360144508959,3.024360144508959,,,
19,2.7553237524711918,2.7553237524711918,2.7553237524711918,,,,2.7979044482258537,2.7979044482258537,2.7979044482258537,,,,3.3951201732024487,3.3951201732024487,3.3951201732024487,,,,3.072048203169197,3.072048203169197,3.072048203169197,,,
20,2.755651280186581,2.755651280186581,2.755651280186581,,,,2.829641072086723,2.829641072086723,2.829641072086723,,,,3.456520436664868,3.456520436664868,3.456520436664868,,,,3.1206940315784037,3.1206940315784037,3.1206940315784037,,,
21,2.76230859557553,2.76230859557553,2.76230859557553,,,,2.8577927404386423,2.8577927404386423,2.8577927404386423,,,,3.5238319117738617,3.5238319117738617,3.5238319117738617,,,,3.188663729773127,3.188663729773127,3.188663729773127,,,
22,2.758497287550577,2.758497287550577,2.758497287550577,,,,2.875152036628588,2.875152036628588,2.875152036628588,,,,3.5389741803754364,3.5389741803754364,3.5389741803754364,,,,3.2261676234365777,3.2261676234365777,3.2261676234365777,,,
23,2.761455037771177,2.761455037771177,2.761455037771177,,,,2.906507999040348,2.906507999040348,2.906507999040348,,,,3.596689373017859,3.596689373017859,3.596689373017859,,,,3.28722323162825,3.28722323162825,3.28722323162825,,,
24,2.7657701392475897,2.7657701392475897,2.7657701392475897,,,,2.936096140963972,2.936096140963972,2.936096140963972,,,,3.625029968718101,3.625029968718101,3.625029968718101,,,,3.3333319521757243,3.3333319521757243,3.3333319521757243,,,
25,2.7747433923258176,2.7747433923258176,2.7747433923258176,,,,2.9594638786931435,2.9594638786931435,2.9594638786931435,,,,3.662682614257044,3.662682614257044,3.662682614257044,,,,3.3998302809509973,3.3998302809509973,3.3998302809509973,,,
26,2.7761345645284523,2.7761345645284523,2.7761345645284523,,,,2.982177513990286,2.982177513990286,2.982177513990286,,,,3.7229705894617338,3.7229705894617338,3.7229705894617338,,,,3.42262115178264,3.42262115178264,3.42262115178264,,,
27,2.7826414544391893,2.7826414544391893,2.7826414544391893,,,,2.997730522651177,2.997730522651177,2.997730522651177,,,,3.7337917071165694,3.7337917071165694,3.7337917071165694,,,,3.464115257818649,3.464115257818649,3.464115257818649,,,
28,2.789085523296838,2.789085523296838,2.789085523296838,,,,3.035476485203214,3.035476485203214,3.035476485203214,,,,3.810916810259018,3.810916810259018,3.810916810259018,,,,3.5186150224693926,3.5186150224693926,3.5186150224693926,,,
29,2.793713416137455,2.793713416137455,2.793713416137455,,,,3.053868723347261,3.053868723347261,3.053868723347261,,,,3.8082476583253393,3.8082476583253393,3.8082476583253393,,,,3.573281402167538,3.573281402167538,3.573281402167538,,,
30,2.800263518866757,2.800263518866757,2.800263518866757,,,,3.0833589514049664,3.0833589514049664,3.0833589514049664,,,,3.837164216565129,3.837164216565129,3.837164216565129,,,,3.597926349182009,3.597926349182009,3.597926349182009,,,
31,2.805049154318397,2.805049154318397,2.805049154318397,,,,3.111795837810686,3.111795837810686,3.111795837810686,,,,3.878712438758271,3.878712438758271,3.878712438758271,,,,3.6354293721156634,3.6354293721156634,3.6354293721156634,,,
32,2.8142607495616807,2.8142607495616807,2.8142607495616807,,,,3.142915095029408,3.142915095029408,3.142915095029408,,,,3.9769829538008303,3.9769829538008303,3.9769829538008303,,,,3.6723565616179807,3.6723565616179807,3.6723565616179807,,,
33,2.8180038896520885,2.8180038896520885,2.8180038896520885,,,,3.153343601819804,3.153343601819804,3.153343601819804,,,,3.9552247054555294,3.9552247054555294,3.9552247054555294,,,,3.734321276572031,3.734321276572031,3.734321276572031,,,
34,2.83100003809593,2.83100003809593,2.83100003809593,,,,3.1754177653475195,3.1754177653475195,3.1754177653475195,,,,4.011130793607878,4.011130793607878,4.011130793607878,,,,3.757307686893924,3.757307686893924,3.757307686893924,,,
35,2.833888681194811,2.833888681194811,2.833888681194811,,,,3.1916128759823272,3.1916128759823272,3.1916128759823272,,,,4.008369046466081,4.008369046466081,4.008369046466081,,,,3.775350312612414,3.775350312612414,3.775350312612414,,,
36,2.8437020630219094,2.8437020630219094,2.8437020630219094,,,,3.2129697929541456,3.2129697929541456,3.2129697929541456,,,,,,,,,,3.8411071789353817,3.8411071789353817,3.8411071789353817,,,
37,2.8533895361193613,2.8533895361193613,2.8533895361193613,,,,3.222699870560311,3.222699870560311,3.222699870560311,,,,,,,,,,,,,,,
38,,,,,,,3.24527931678769,3.24527931678769,3.24527931678769,,,,,,,,,,,,,,,
39,,,,,,,3.257856963666956,3.257856963666956,3.257856963666956,,,,,,,,,,,,,,,
40,,,,,,,3.28023354366322,3.28023354366322,3.28023354366322,,,,,,,,,,,,,,,
