wobbly-elevator-22 - val_loss,breezy-sun-24 - val_loss,classic-bee-26 - val_loss,frosty-blaze-28 - val_loss
3.7416244885153023,3.29561408357046,2.9184140604342685,3.0471202677697096
3.4234748873359715,2.9918873900646585,2.6693731248683696,2.7864860927997634
3.24086163673566,2.8461014820805968,2.5675294247822045,2.6715722502521158
3.120288907426026,2.756986229065974,2.522145439066881,2.6096614490855825
3.0306327546595213,2.695643864931529,2.5075492411511755,2.58943055868618
2.9696185944071907,2.668318681292813,2.5144545698109595,2.5651106641124617
2.9177490786838045,2.6458481165237755,2.5427275788638597,2.5751150816549986
2.878943133513696,2.632868923891346,2.5816488765159584,2.582125717577433
2.850398169123061,2.6274040921754325,2.633674738079673,2.6068563041702024
2.827320030119324,2.6236147289433758,2.7111827575611533,2.6463254211738043
2.804090481412453,2.6369594725601693,2.7760471000205995,2.6748728674446114
2.786755586073934,2.6448108203201866,2.8613871214475184,2.7144118067693728
2.781032721689488,2.656372510481425,2.934748997063395,2.753454242752838
2.766918602425111,2.677953368948464,3.070613822952024,2.808674648004177
2.7613850485100984,2.690584462423673,3.1327064463117376,2.8640436057639094
2.758753526515728,2.7170055468970986,3.1907665446347866,2.917620104985273
2.7549492023442497,2.7395486782874143,3.2619330155854147,2.978922898353718
2.755791607000658,2.7757995257176837,3.3056507145124643,3.024360144508959
2.7553237524711918,2.7979044482258537,3.3951201732024487,3.072048203169197
2.755651280186581,2.829641072086723,3.456520436664868,3.1206940315784037
2.76230859557553,2.8577927404386423,3.5238319117738617,3.188663729773127
2.758497287550577,2.875152036628588,3.5389741803754364,3.2261676234365777
2.761455037771177,2.906507999040348,3.596689373017859,3.28722323162825
2.7657701392475897,2.936096140963972,3.625029968718101,3.3333319521757243
2.7747433923258176,2.9594638786931435,3.662682614257044,3.3998302809509973
2.7761345645284523,2.982177513990286,3.7229705894617338,3.42262115178264
2.7826414544391893,2.997730522651177,3.7337917071165694,3.464115257818649
2.789085523296838,3.035476485203214,3.810916810259018,3.5186150224693926
2.793713416137455,3.053868723347261,3.8082476583253393,3.573281402167538
2.800263518866757,3.0833589514049664,3.837164216565129,3.597926349182009
2.805049154318397,3.111795837810686,3.878712438758271,3.6354293721156634
2.8142607495616807,3.142915095029408,3.9769829538008303,3.6723565616179807
2.8180038896520885,3.153343601819804,3.9552247054555294,3.734321276572031
2.83100003809593,3.1754177653475195,4.011130793607878,3.757307686893924
2.833888681194811,3.1916128759823272,4.008369046466081,3.775350312612414
2.8437020630219094,3.2129697929541456,,3.8411071789353817
2.8533895361193613,3.222699870560311,,
,3.24527931678769,,
,3.257856963666956,,
,3.28023354366322,,
