"epoch","wobbly-elevator-22 - _step","wobbly-elevator-22 - _step__MIN","wobbly-elevator-22 - _step__MAX","wobbly-elevator-22 - val_loss","wobbly-elevator-22 - val_loss__MIN","wobbly-elevator-22 - val_loss__MAX","driven-glitter-23 - _step","driven-glitter-23 - _step__MIN","driven-glitter-23 - _step__MAX","driven-glitter-23 - val_loss","driven-glitter-23 - val_loss__MIN","driven-glitter-23 - val_loss__MAX","breezy-sun-24 - _step","breezy-sun-24 - _step__MIN","breezy-sun-24 - _step__MAX","breezy-sun-24 - val_loss","breezy-sun-24 - val_loss__MIN","breezy-sun-24 - val_loss__MAX","atomic-voice-25 - _step","atomic-voice-25 - _step__MIN","atomic-voice-25 - _step__MAX","atomic-voice-25 - val_loss","atomic-voice-25 - val_loss__MIN","atomic-voice-25 - val_loss__MAX","classic-bee-26 - _step","classic-bee-26 - _step__MIN","classic-bee-26 - _step__MAX","classic-bee-26 - val_loss","classic-bee-26 - val_loss__MIN","classic-bee-26 - val_loss__MAX","usual-deluge-27 - _step","usual-deluge-27 - _step__MIN","usual-deluge-27 - _step__MAX","usual-deluge-27 - val_loss","usual-deluge-27 - val_loss__MIN","usual-deluge-27 - val_loss__MAX","frosty-blaze-28 - _step","frosty-blaze-28 - _step__MIN","frosty-blaze-28 - _step__MAX","frosty-blaze-28 - val_loss","frosty-blaze-28 - val_loss__MIN","frosty-blaze-28 - val_loss__MAX","resilient-cosmos-29 - _step","resilient-cosmos-29 - _step__MIN","resilient-cosmos-29 - _step__MAX","resilient-cosmos-29 - val_loss","resilient-cosmos-29 - val_loss__MIN","resilient-cosmos-29 - val_loss__MAX"
"11","12","12","12","2.804090481412453","2.804090481412453","2.804090481412453","","","","","","","22","22","22","2.6369594725601693","2.6369594725601693","2.6369594725601693","","","","","","","20","20","20","2.7760471000205995","2.7760471000205995","2.7760471000205995","","","","","","","20","20","20","2.6748728674446114","2.6748728674446114","2.6748728674446114","","","","","",""
"12","13","13","13","2.786755586073934","2.786755586073934","2.786755586073934","","","","","","","24","24","24","2.6448108203201866","2.6448108203201866","2.6448108203201866","","","","","","","22","22","22","2.8613871214475184","2.8613871214475184","2.8613871214475184","","","","","","","22","22","22","2.7144118067693728","2.7144118067693728","2.7144118067693728","","","","","",""
"13","14","14","14","2.781032721689488","2.781032721689488","2.781032721689488","","","","","","","26","26","26","2.656372510481425","2.656372510481425","2.656372510481425","","","","","","","24","24","24","2.934748997063395","2.934748997063395","2.934748997063395","","","","","","","24","24","24","2.753454242752838","2.753454242752838","2.753454242752838","","","","","",""
"14","15","15","15","2.766918602425111","2.766918602425111","2.766918602425111","","","","","","","28","28","28","2.677953368948464","2.677953368948464","2.677953368948464","","","","","","","26","26","26","3.070613822952024","3.070613822952024","3.070613822952024","","","","","","","26","26","26","2.808674648004177","2.808674648004177","2.808674648004177","","","","","",""
"15","16","16","16","2.7613850485100984","2.7613850485100984","2.7613850485100984","","","","","","","30","30","30","2.6905844624236734","2.6905844624236734","2.6905844624236734","","","","","","","28","28","28","3.1327064463117376","3.1327064463117376","3.1327064463117376","","","","","","","28","28","28","2.8640436057639094","2.8640436057639094","2.8640436057639094","","","","","",""
"16","17","17","17","2.758753526515728","2.758753526515728","2.758753526515728","","","","","","","32","32","32","2.7170055468970986","2.7170055468970986","2.7170055468970986","","","","","","","30","30","30","3.1907665446347866","3.1907665446347866","3.1907665446347866","","","","","","","30","30","30","2.917620104985273","2.917620104985273","2.917620104985273","","","","","",""
"17","18","18","18","2.7549492023442497","2.7549492023442497","2.7549492023442497","2","2","2","2.7549492023442497","2.7549492023442497","2.7549492023442497","34","34","34","2.7395486782874143","2.7395486782874143","2.7395486782874143","","","","","","","32","32","32","3.2619330155854147","3.2619330155854147","3.2619330155854147","","","","","","","32","32","32","2.978922898353718","2.978922898353718","2.978922898353718","","","","","",""
"18","19","19","19","2.755791607000658","2.755791607000658","2.755791607000658","","","","","","","36","36","36","2.7757995257176833","2.7757995257176833","2.7757995257176833","","","","","","","34","34","34","3.3056507145124643","3.3056507145124643","3.3056507145124643","","","","","","","34","34","34","3.024360144508959","3.024360144508959","3.024360144508959","","","","","",""
"19","20","20","20","2.7553237524711913","2.7553237524711913","2.7553237524711913","","","","","","","38","38","38","2.7979044482258537","2.7979044482258537","2.7979044482258537","","","","","","","36","36","36","3.3951201732024487","3.3951201732024487","3.3951201732024487","","","","","","","36","36","36","3.072048203169197","3.072048203169197","3.072048203169197","","","","","",""
"20","22","22","22","2.755651280186581","2.755651280186581","2.755651280186581","","","","","","","41","41","41","2.829641072086723","2.829641072086723","2.829641072086723","","","","","","","38","38","38","3.456520436664868","3.456520436664868","3.456520436664868","","","","","","","38","38","38","3.1206940315784033","3.1206940315784033","3.1206940315784033","","","","","",""
